Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,-1.763668654,-9.239797856,-9.07678961,-9.876490025,-7.122892119,-0.1762904766,6.507283096,10.1001663,18.23392793,8.005549003,0.4580573469,10.49425182,17.41590538,16.97281848,17.89786755,18.52761688,21.90782954,22.03668154,24.15716007,42.01234411,43.5287644,
Angola,AGO,-13.86723254,27.93202689,-21.71262778,-12.10336114,-5.070693491,-7.224122548,-34.86818259,-30.56971951,-28.90792546,-31.54290913,-32.34760864,-32.11431604,-29.4224462,-27.4498294,-29.42692712,-28.40327235,-27.78384032,-26.39472789,-24.59737841,-21.21213139,-19.5405753,-18.00826697
Albania,ALB,-25.54815309,-43.96378346,-45.40333347,-38.86473829,-42.21427539,-44.32165323,-50.50174694,-52.79169648,-41.56712656,-24.50750597,-38.62332055,-32.48229682,-29.50412716,-33.39978706,-25.23541984,-27.76617566,-11.09840794,-26.77960031,-27.03131716,-23.44818626,-21.60075238,-19.92389571
United Arab Emirates,ARE,10.3584509,8.636201136,12.17570806,21.40178045,29.52531989,42.11955235,40.55639384,44.82105202,47.87591477,59.20383584,58.64976331,74.90027001,84.95768116,93.10650035,97.75238359,109.4348989,131.7099741,150.1959977,151.6217263,166.3875175,174.960603,182.6106793
Argentina,ARG,0.2377385638,2.094935181,3.739461491,1.648187806,3.204358665,8.137620926,12.4378557,16.86693738,25.25990975,24.3461322,22.4827046,16.69332595,29.35304954,38.78714275,34.45090119,40.15888577,44.26580132,54.37848988,40.0870453,36.81387061,39.88599043,42.67047235
Armenia,ARM,2.813527887,-41.31563671,-66.18303153,-75.30302185,-72.86537675,-75.76928747,-72.82810327,-72.75752236,-74.16486354,-72.22914128,-72.1129193,-73.87682537,-71.79981982,-69.1326456,-66.02569942,-64.64400207,-62.29782037,-49.57531317,-54.56883479,-53.93013435,-49.78658312,-50.18426544
American Samoa,ASM,2.87334542,5.539695026,7.936224804,10.16981957,12.28065179,14.1388853,15.86720511,17.40639837,52.76532108,133.8214438,149.6553582,151.9368869,154.3416752,156.7068048,159.0657914,161.5232356,164.525697,167.9716857,169.8019172,177.8884027,183.3150361,188.3294664
Antigua and Barbuda,ATG,0.2875173686,-0.206336351,-3.516841287,2.300340406,5.279877983,4.760270261,-2.661037455,1.916235121,8.544741612,7.093031555,7.246388728,9.171472917,12.50381875,20.60629711,21.96764267,24.51811511,28.41783065,32.12827002,,,44.45971162,48.47329374
Australia,AUS,3.534839195,0.9731986138,-0.5877105981,8.320842342,1.450530834,5.512058843,90.96317001,90.91370476,146.7639786,124.18584,157.4166419,131.6927321,112.2478268,137.2689185,88.52691408,132.1451658,120.9470682,85.07826802,129.1460126,62.16162359,62.92721991,57.92847163
Austria,AUT,4.290034555,-0.7661602228,-0.5623623726,-0.101742356,3.311339926,7.278979925,6.130459182,7.379610014,5.064789795,3.56951485,7.533673664,9.456437906,16.06134019,20.65954397,22.19009664,19.79004936,16.83406116,18.50254139,11.53575923,17.95583858,15.6294744,13.30618653
Azerbaijan,AZE,1.121546005,,-32.82171177,-37.95177938,-45.54592457,-50.0989147,-51.77122729,-48.8411522,-48.19539314,-45.39256671,-46.91689286,-48.3991163,-43.50995924,-42.37172701,-39.02787755,-37.90731933,-42.19454559,-31.06895409,-36.45925017,-35.04895639,-30.87686433,-27.60623717
Burundi,BDI,3.012565902,4.426208411,7.956055929,6.354724482,7.145713327,8.853495802,9.319861708,122.551169,-1.115104449,21.43431748,21.14735523,79.69345248,87.88361492,91.87408689,89.4398793,98.40899389,95.70536642,104.5401516,111.718634,115.8311087,119.7973667,123.4550193
Belgium,BEL,3.540060724,2.362803663,0.6422889689,4.733085248,6.411583593,11.2001498,8.440515072,10.37356015,6.982738736,6.657365708,4.832345056,0.1276483504,4.467206308,2.404736602,-0.8533121632,-2.226529954,-4.387643681,-0.4777275344,-4.904699228,0.1137927043,-0.2572333337,-3.263041778
Benin,BEN,-19.10363726,-6.644068111,-12.73973588,-12.65361224,-3.952926818,-4.467265514,-1.957767967,4.903304596,-7.834509184,-14.69434626,-30.03426805,1.20660409,-21.83275454,-32.7603441,2.934091976,-22.8920605,-15.47405343,-20.23406939,-19.32610554,-30.00372564,-29.45331086,-28.93719456
Burkina Faso,BFA,-2.397562013,3.759786224,5.796349439,9.548095179,15.8112947,19.29015777,27.33809782,273.2835213,240.9436746,282.4381677,239.2966017,312.002599,259.750243,256.2206763,293.462741,240.4175208,259.079953,235.0034112,257.773534,257.2205865,259.3129313,261.3724488
Bangladesh,BGD,-0.001328316868,1.518959936,1.736346134,3.625770724,7.739938225,9.710365677,10.58021749,1.916162196,9.172887473,7.348918202,12.66899537,13.50485237,15.56613338,16.31112657,19.24994437,22.58754926,27.10307761,29.99076429,34.11652618,40.09636746,42.45936612,44.67096196
Bulgaria,BGR,-20.72920845,-25.50626627,-27.07284065,-28.93582059,-24.34737272,-23.34562251,-27.34215113,-33.47680674,-39.06299829,-38.7570346,-36.4083545,-41.05526812,-35.21454042,-36.28625176,-36.58498297,-35.32853684,-32.89907942,-33.645137,-39.73979817,-37.13774526,-32.51058881,-37.14016729
Bahrain,BHR,-15.33594315,-10.95949141,-10.09120269,-10.75729776,-10.09127489,-6.241326479,,,5.848652538,,11.73307737,17.10371512,20.46002921,25.80780831,37.42761233,47.31479476,,,71.54465478,81.35299412,87.32970525,92.65536823
Bosnia and Herzegovina,BIH,-9.980245051,-31.10995499,-40.94907293,-79.21525819,-79.00132752,-77.32118202,-61.74992209,-52.60546509,-50.92597735,-28.18035913,-42.26792038,-45.36059312,-40.46418476,-36.13751989,-33.64852127,-27.28847453,-21.2190659,-22.61274109,-21.8614686,-18.19772036,-15.68639253,-13.44313767
Belarus,BLR,-2.063819786,-8.223652346,-17.29837821,-24.5485963,-29.69574822,-29.6015584,-29.18443006,-52.91555901,-52.79975784,-55.02575202,-56.41921416,-51.60657301,-55.75193519,-53.81783743,-51.46493248,-49.04579316,-48.37931413,-45.60206161,-45.1195591,-41.64094725,-41.25430105,-40.86284581
Belize,BLZ,9.073169702,-0.004888447153,-3.876295197,-6.300192127,-4.707789555,-9.285859036,4.734385995,45.9004262,80.75671076,164.9641895,60.1798506,169.0915356,469.6572536,81.13775834,219.6036356,101.7582937,184.8295569,122.5561613,142.5043705,136.8958322,142.8003727,148.1141394
Bermuda,BMU,-10.93699558,-28.68193164,-27.86325427,-24.75965448,-23.92058941,-22.79853344,,-29.28868133,-24.64591607,-20.5204788,-21.87736623,-19.27615912,-16.83860524,-9.341248126,-10.44562375,-8.032170651,,,-14.04347463,-8.930189546,-5.832908381,-3.076035704
Bolivia,BOL,-4.922931706,1.128298247,11.07938176,-18.74684456,-11.56201596,-8.577608755,-7.046551443,-29.39636258,17.24835896,-52.55490552,-67.70023332,-42.53637851,-35.32297984,31.10663542,60.63602771,-14.75811697,18.12457008,-37.70779409,-60.32822516,-46.58561375,222.3440605,222.730662
Brazil,BRA,-2.256686799,2.675521122,10.36173757,-9.385832021,-1.977556993,0.4701194819,2.565323095,40.93590307,-0.6441298641,-23.8810033,-20.46790833,-0.8954177824,1.14215287,22.488853,48.5758817,0.9257757183,68.3154557,-4.5666217,-24.54474128,80.6889399,83.8515352,86.11633574
Barbados,BRB,3.744728881,3.092933891,-5.913409694,-8.894527564,-8.344972604,-9.671424762,-6.387251983,0.7498555287,9.209839206,9.525991915,2.121355184,5.340536598,,,,,,,,,,28.4202694
Bhutan,BTN,-0.2521108399,24.59368748,24.38101519,26.13198558,28.72684745,29.98024541,24.75976967,51.78662695,201.338665,80.42995484,26.03850464,33.39134793,14.64130394,26.80159344,26.38150921,53.60419536,81.74161347,49.06817424,71.14651937,151.5656181,154.6283229,157.5464599
Botswana,BWA,-18.01861725,15.86268987,-31.2437033,-17.12916653,-9.123474501,-23.67458219,-24.47101024,156.4394611,159.657456,196.7340535,306.4053283,284.7302399,30.73263723,78.61779761,80.87420367,225.1655291,95.04013322,446.2548933,71.5532792,510.5715742,512.3571049,513.9965218
Canada,CAN,2.869208211,1.641016289,7.706557579,32.61749838,37.3494714,14.79884998,13.37042148,85.49612854,34.97856198,24.96496546,18.04701282,49.28676573,56.29973467,70.88260266,39.61223621,47.0255633,46.55640438,49.32617035,23.19404191,25.53910073,69.78929693,68.73487187
Switzerland,CHE,2.58900762,1.972082187,-2.706606362,-2.760870305,-3.220481106,-2.610146823,-4.931904856,-3.589261712,-3.800382612,-5.905942945,-4.111136627,-6.022614989,-3.264629399,-2.07689548,-0.9060446233,-1.120327928,-4.045329039,0.4275148981,-2.035377849,1.348343112,-5.899467477,-4.053110896
Chile,CHL,-3.279345727,1.250651445,6.789755513,13.78832963,21.38226525,34.52680314,50.54315914,67.41719031,77.39916427,65.14548794,66.01814751,66.66122117,72.18313001,82.49223369,85.62720046,86.30457507,106.6995422,102.8512353,101.7247819,108.8149428,114.9846247,120.5139441
China,CHN,3.661683576,7.188324812,12.98889939,18.51719081,29.53428973,33.11874998,31.36741813,32.0789043,30.48336917,30.56125648,32.18471457,40.6465907,59.96614779,82.82137879,100.4671666,120.2443062,134.3901334,157.4585442,172.7498305,187.3039783,209.9220846,219.9524772
Cote d'Ivoire,CIV,-18.57226467,-6.347618042,-12.28050251,-12.35262509,-3.122694572,-4.717444485,-2.150890939,-83.5986459,-84.02295171,-80.65530542,-81.21939647,-81.16239867,-85.27788694,-84.93321682,-82.73151662,-82.09680889,-81.69550497,-80.49794927,-79.83895368,-78.63001033,-78.30003177,-77.98815553
Cameroon,CMR,-17.07088499,-6.506810173,-11.13662794,-14.69965647,-6.95777624,-8.565701387,-6.940252754,61.68072219,38.12673986,67.18916519,21.92666296,31.45675984,71.19594333,0.03166323253,64.75664598,26.9926756,23.34776078,23.94798041,19.66525879,2.325353889,2.902733896,3.451748715
Colombia,COL,-1.324266791,2.337675609,8.246553955,-2.340137235,2.697961741,5.186922342,7.835539411,-5.198049257,-14.24117623,-5.663240324,-11.80540418,-15.00222799,-6.54610213,0.121428734,-13.63506985,-13.10241315,1.512158387,-3.983359387,-1.424860958,-4.415832031,-2.406787585,-0.5649038728
Comoros,COM,0.3369558796,0.158107962,2.48465889,4.720711369,8.010964359,10.45593964,12.57489534,16.05496265,20.75456555,24.29960849,43.91142655,38.01206916,31.57917578,32.36144815,63.34551025,30.88313786,74.49136718,96.72156702,80.61167376,84.67190612,88.31134155,91.66933933
Cabo Verde,CPV,4.448394945,13.91840866,14.9277824,9.810547094,21.15207294,12.00721597,19.4764136,26.6869313,31.69492623,60.08364082,44.91219495,48.40584594,52.280873,61.15689819,74.20296859,,,77.25703609,80.75489022,,,
