Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1,1,0,0,1,0,0,0.2,1,2,1.2,4,6.3,6.8,8.4,10.2,13,12.7,21.5,29.3,43.2,35,26.5
Angola,AGO,2,3,3,2,2.9,1,2.6,0.8,3.4,6.1,8.8,15.5,2.4,7.2,8.9,13.6,10.9,10.7,14,15.7,17.8,21.8,22.6
Albania,ALB,15,8,12,17,15.1,18.6,10.4,14.5,15.9,22.8,19.1,28.4,21.4,21.9,24.5,31.8,40.5,51.5,77,136.7,160.9,186.5,183.6
Andorra,AND,0,0,0,0,0,0,0.5,0,0.2,1,2.6,1.5,4.1,1.3,5.2,5,6.2,0.7,3.4,1.2,1,3.9,5.9
Arab World,ARB,3225.439116,3108.26062,3123.413012,3393.834029,3527.536614,3488.933763,3614.701862,3741.291839,3881.109064,7944.328847,8709.760531,9074.175615,10149.93716,11516.18832,12553.1503,14389.76007,16110.56292,18404,22131.7,24863.8,29042.9,32902.1,36106.1
United Arab Emirates,ARE,57,77,109,98,120.2,143.1,151.6,155.5,129.9,293.8,363.2,350.6,484.3,520.2,673.2,779.1,735.6,878,995.2,1173.8,1397.3,1588.3,1679.1
Argentina,ARG,1499,1526,1585,1747,1967.2,2287.2,2450.8,2550.7,2635.8,4244.1,4358.4,4618.3,4484.7,4641.3,4882,5334.5,5666.5,6276.5,7013.5,7420,7859.7,8073.1,8053.1
Armenia,ARM,,21,165,178,166,197.9,172.3,165.9,163.9,313.6,283.2,292.3,290,328.9,375.2,358.4,391.2,387.6,432.3,488.8,612.6,558.7,558.5
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,0,0,0,0,1,0,0,0,0,0.3,1,3.1,1.8,0.7,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9
Australia,AUS,10742,11452,11929,12695,13125.4,13623.3,13815.7,14307.4,14341.1,20660.5,21376.6,22177.7,23274,25971.5,29798.2,31934.6,34606.6,35847.1,37928.4,40078.9,42937.1,44488.9,47805.7
Austria,AUT,2756,3047,3051,3177,3425,3646.2,3947.4,4074,4157.8,6171.4,6749.1,7038.9,7411.8,7977.5,8838.6,9061,9818,10209.8,10847.8,11042.9,11614.1,12001,12031.3
Azerbaijan,AZE,,15,197,189,139.1,118.2,85.8,92,65.7,148,136.2,216.6,245.6,327.5,329.8,280,408.6,470.8,617,618.7,655.8,683.1,481.8
Burundi,BDI,5,6,3,9,10.4,7.9,11.5,2.2,5.1,0.4,3.6,0.6,4.5,4,2.8,4.3,5.5,2.5,3.5,12.8,9,10.8,16.3
Belgium,BEL,4164,4431,4512,4949,5171.6,5554.4,5531.8,5687.7,5712.5,9091.6,9353.4,9753.9,10238.6,11222.3,12557,12824.3,13507,14137.6,14826.3,14942,15560.5,16439.7,16511.3
Benin,BEN,13,8,11,9,13.7,13.7,21.4,19.3,21.2,41,39.9,40.4,45.4,61.7,59,83.5,90,94.3,125.5,111.3,147.2,159,187.1
Burkina Faso,BFA,23,19,19,17,13.2,17.2,22.1,32.1,22.9,49.4,55.2,73.4,77.6,72.7,74.9,106.8,115.9,122.4,140.5,134.1,168.5,214.8,177
Bangladesh,BGD,104,151,153,136,162.1,156.3,136.3,141.5,166.6,436,437.3,396.8,453.9,486.2,561.6,688,959.8,1066,1239.9,1546.8,1585.6,2085.9,1970.6
Bulgaria,BGR,1169,1218,1380,1024,958.6,954.1,985.4,929,867.3,1527.4,1482.3,1471.4,1506.4,1603,1905.1,1777.5,2371.6,2269.4,2453,2505.1,2434.3,2678.8,2677.3
Bahrain,BHR,41,34,35,44,42.2,36.8,36.2,30.4,34.9,73.2,79.2,54.2,118.9,130.7,156.6,177.3,176.7,161.1,189,201.7,180.2,157.2,209.7
"Bahamas, The",BHS,0,2,1,1,1.3,1.7,0.8,1.4,1.2,1.7,5.2,4.7,5.2,3,6.9,5.9,11.1,6,9.7,8.8,10.9,7.8,15.8
Bosnia and Herzegovina,BIH,0,0,14,11,10.2,6.6,10.7,13,9.5,25.7,34.6,47.1,59,110.4,180.4,199.5,251.4,336.1,369.3,451.9,481.3,493.7,437.3
Belarus,BLR,,30,708,1021,650.2,567.8,596.3,583.4,578.6,1011,1055.5,1054.9,992.4,1076.4,1207.2,1138,1260.4,1030.5,1160.4,1040.1,1088.3,992.4,1000.6
Belize,BLZ,1,2,2,1,2.3,1.3,3.7,0.8,2.5,0.5,2,1.7,4.8,4.5,5.7,4.9,1.8,3.6,9.6,11,3.4,8.5,9.6
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,11,15,23,24,23.9,21.3,34.7,28.2,40.7,34,44.5,42.1,48.9,45,59.9,69.9,79.7,96.6,86.2,78.9,85.8,85.1,89.4
Brazil,BRA,2640,3107,2885,3073,3436.1,3813.4,4497.6,5234.1,5859.3,11609.4,12879.5,14674,15874.4,18861.9,21420.4,27507.1,30174.1,34534.4,37811.7,40530.5,43218.6,47302.1,48622.2
Barbados,BRB,13,18,14,19,16.5,11.4,16.4,15.3,13.5,24,41.8,31.7,39.8,48.4,36.1,40.3,45.5,43,34.9,24.7,35.5,45.2,39.1
Brunei Darussalam,BRN,7,14,4,11,9.5,8.3,9.7,15.2,21.3,32.2,16.9,23.7,33.6,28,30.1,33.7,41.9,44,45.5,47.7,77.6,105.1,120.2
Bhutan,BTN,0,2,2,3,2.3,0,1,1.5,0.5,1.1,1,6.2,3.7,9.4,5.5,15.9,8.1,6.2,12.1,17.2,17.3,17.2,28.6
Botswana,BWA,18,20,28,19,28,39.1,31.6,34.9,38.7,98.5,94.6,100,113.1,120.2,105.1,178.1,138.5,150.3,135.9,149.5,165.7,154.5,165.3
Central African Republic,CAF,5,6,4,3,6.3,3.3,5.6,6.4,4.2,5,5,3.6,9.2,8.9,9.6,13.1,8.5,9.8,10.1,14.3,13.4,10.5,11.8
Canada,CAN,22903,24180,23824,24565,23739.8,23841.8,22780.9,22200.7,22125.4,31093.1,30973.1,33566.4,35740.1,40374,45884.1,47953.8,51048.4,52300.3,54298.2,55420.2,56384.2,58420.3,57796.7
Central Europe and the Baltics,CEB,11287.56632,12047.83996,13503.37252,12361,12574.7,13142.7,13622,14138.7,14572.3,29901.3,31129.8,33804.6,36163.4,40625.5,46967.7,49950,54736.9,61886.7,65300.2,69896.5,73984.7,77189.1,80287
Switzerland,CHE,6098,6651,6871,7372,7220,7568.4,7863.9,7983.9,8194.5,11834.8,11632,11703.2,12435.7,13753.7,15151.3,16214.1,16702.5,17121.9,17836.8,18545.5,19483.7,20613.6,21060.4
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,819,835,877,798,888.6,920.3,954.3,991.8,1058.9,1478.5,1564.8,1944.8,2002.3,2255.7,2520.6,3063.6,3399.8,3825.4,4103.6,4198.5,4617.3,5115.8,5157.6
China,CHN,6186,6956,7566,7821,9061.4,10526.1,12171.6,13781.3,15714.7,47289.8,59412.4,61106.8,71113.3,106844,156585.6,181690.5,207175.3,240030.2,278947.4,305827,351462.8,372038.4,401434.5
Cote d'Ivoire,CIV,36,37,32,47,39.9,31.1,40,53.9,47.9,70.1,74.8,70.8,92.3,107.8,102.4,103.3,154.3,222.3,190.2,207.3,218.8,220,169.2
Cameroon,CMR,54,58,75,84,66,60.5,83.3,74.2,70.6,118.1,137.5,168.4,197.1,207.6,281.7,331.7,366.7,342.8,371.6,401.4,450.8,457.1,526.8
"Congo, Dem. Rep.",COD,21,26,21,19,19.3,13.8,15.8,6.9,6,1.8,2,1.6,2.1,3.5,5.4,8.1,7.2,8.4,16.2,18.3,13.7,21.4,16.4
"Congo, Rep.",COG,14,18,8,10,5.8,9.9,7.6,11.9,12.5,23.2,20.7,31.3,46.9,47,65.1,63.5,73.6,74.9,71,91.8,95.2,114.2,136.8
Colombia,COL,106,125,122,145,162.3,194.7,234.9,247.7,240.3,510.2,505.7,649,654.5,804.9,966.4,1346.2,1565.3,2374.4,2664.5,3113.2,3405.8,4068.5,4455.9
Comoros,COM,0,0,1,0,0.3,0,0,0.5,1,1,0.2,0.2,0.3,1.2,0.9,0.2,2.1,0.7,0.8,2.2,3.9,1.6,13.9
Cabo Verde,CPV,2,0,0,0,0.3,0.7,0.3,0.2,0.6,0.3,0.2,0.2,2.4,0.3,0.4,4.1,1.2,2.1,4.9,3.1,2.4,4,8
Costa Rica,CRI,55,62,61,66,65.8,74.7,76.5,72.7,69.2,118.3,166.5,161.6,151.5,211.6,207.7,215.1,215.4,246.1,256.8,264.3,267.1,295.9,276.6
Caribbean small states,CSS,139.1129092,139.1129092,142.2987011,157.1657295,156.8471503,129.6389712,136.8353421,131.0550473,119.8097465,235.5373893,307.2803635,304.360596,334.4544512,364.2463614,393.9458298,370.6068532,454.648559,474.2801951,522.524029,458,532,547,489.9
Cuba,CUB,94,131,113,141,167.8,206.4,167,236.3,256.6,1009.4,1040.4,1018.3,778.9,815.5,939.6,1219.4,1096.8,1175.4,1398.7,1312.6,1585.2,1526,1547.9
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,8,22,24,24,43,44.5,56.6,54.7,49.3,133.8,115.3,150.1,141.3,217.5,265.6,313.8,365,434.6,575.4,620.5,656.9,736.9,888.6
Czech Republic,CZE,2881,3132,3308,2179,1954.5,2185.5,2304.4,2263.5,2359.9,4904.5,5314.6,5658.1,6133.7,6773.3,7722.3,8607,9650.9,10377.1,11026.3,12350,13152.2,13590.8,14022.4
Germany,DEU,32929,35120,34103,36901,37645,39213.4,41414.6,42955,42962.9,64372.9,65881,65845.6,67491.3,72934.4,81765.2,83335.1,87319.9,89470.3,93328.5,95135.1,98492.8,101777.8,101073.9
Djibouti,DJI,1,1,2,1,1.3,0.2,0,0.7,0.3,2,0.6,1.3,1.3,1.9,2.6,1.9,2.3,2.8,8.1,6.9,4.4,6.5,7.8
Dominica,DMA,0,0,0,2,0,0.3,0,1.5,0,0,4.1,2,4.6,2.4,6.3,4.2,3.9,5.2,6.5,8.6,6.9,10.8,11.3
Denmark,DNK,3776,4141,4068,4458,4330.1,4368.7,4597.4,4717.9,4783.3,6660.9,6650.2,6763.6,6988.1,7629.7,8111,8367.9,8824.1,9040.2,9652.1,10168,11242.1,12237.1,12482.4
Dominican Republic,DOM,11,5,9,7,5,10,6.2,7.6,5.5,12.1,7,7.3,12.2,13.6,17.7,18.1,20.2,18.6,15.5,17.3,20.7,25.5,39.1
Algeria,DZA,106,120,123,125,146.3,155.6,159.6,156.4,185.4,352.5,390.9,468.2,587.1,819.2,930,1306.1,1445.8,1829.6,2237.1,2258.5,2620,3173.8,3652.5
East Asia & Pacific (excluding high income),EAP,7143.125888,7908.675244,8601.259814,8970.657494,10238.39834,11771.82183,13451.85221,15204.17048,17293.98216,51129.09017,63236.85784,65301.58534,75738.99603,112920.6035,164211.093,191075.9866,217913.5257,254466.6474,296575.549,327714.8405,378490.2525,401255.85,434281.5503
Early-demographic dividend,EAR,24636.06761,25956.16239,26651.16565,27677.0959,28160.44686,29235.32349,30197.37327,31372.11366,32564.06144,59732.98258,63881.89383,70617.0411,78037.52371,88319.43461,100274.931,115358.7003,128856.2365,143677.5637,163447.8,184183.8,214044.9486,229687.8741,241345.7931
East Asia & Pacific,EAS,64222.36702,71778.75563,73139.24144,79557.3808,82936.12145,90316.99869,95021.78321,101588.9073,107312.8908,193352.6551,208760.3323,214272.5072,233181.1203,290757.907,364855.1477,403580.1796,438142.2074,481085.4869,532233.2829,572391.0262,634627.1782,661959.0595,699399.9335
Europe & Central Asia (excluding high income),ECA,,4110.470192,28434.87914,30771.8377,26993.87453,27331.21835,27103.6859,26250.67035,26709.22784,44817.42093,47042.5,48606.1,48545.7,54459.1,61085.7,61790.1,68202.8,72617.8,79735.4,84908.8,89663.9,92266.9,97649.4
